date,value
4/20/1999,406.11
4/21/1999,397.93
4/22/1999,402.33
4/23/1999,401.07
4/26/1999,415.68
4/27/1999,425.33
4/28/1999,423.22
4/29/1999,432.49
4/30/1999,459.35
5/4/1999,505.75
5/6/1999,512.69
5/7/1999,488.35
5/10/1999,490.43
5/11/1999,495.23
5/12/1999,486.56
5/13/1999,476.89
5/14/1999,474.9
5/17/1999,467.62
5/18/1999,481.55
5/19/1999,483.5
5/20/1999,479.6
5/21/1999,479.33
5/24/1999,469.98
5/25/1999,451.05
5/26/1999,458.21
5/27/1999,464.28
5/28/1999,453.6
6/1/1999,461.79
6/2/1999,474.86
6/3/1999,476.05
6/4/1999,476.47
6/7/1999,483.25
6/8/1999,493.67
6/9/1999,510.5
6/10/1999,511.44
6/11/1999,507.06
6/14/1999,514.67
6/15/1999,508.62
6/16/1999,509.84
6/17/1999,520.55
6/18/1999,518.81
6/21/1999,538.36
6/22/1999,545.91
6/23/1999,540.99
6/24/1999,543.97
6/25/1999,543.85
6/28/1999,531.88
6/29/1999,517.65
6/30/1999,521.77
7/2/1999,533.33
7/5/1999,533.15
7/6/1999,526.82
7/7/1999,516.11
7/8/1999,496.65
7/9/1999,509.58
7/12/1999,511.87
7/13/1999,500.25
7/14/1999,494
7/15/1999,496.7
7/16/1999,488.51
7/19/1999,481.7
7/20/1999,487.95
7/21/1999,496.86
7/22/1999,487.22
7/23/1999,475.73
7/26/1999,457.68
7/27/1999,461.91
7/29/1999,458.82
7/30/1999,456.81
8/2/1999,452.61
8/3/1999,456.07
8/4/1999,451.43
8/5/1999,447.09
8/6/1999,437.04
8/9/1999,433.45
8/10/1999,430.85
8/11/1999,421.49
8/13/1999,423.78
8/16/1999,418.11
8/17/1999,411.31
8/18/1999,409.76
8/19/1999,418
8/20/1999,440.51
8/23/1999,448.19
8/24/1999,446.55
8/25/1999,468.7
8/26/1999,456.07
8/27/1999,457.54
8/30/1999,446.48
8/31/1999,440.27
9/1/1999,434.56
9/2/1999,426.7
9/3/1999,431.12
9/6/1999,424.08
9/7/1999,426.75
9/8/1999,421.56
9/9/1999,431.08
9/10/1999,430.91
9/13/1999,444.94
9/14/1999,443.82
9/15/1999,438.59
9/16/1999,429.89
9/17/1999,438.16
9/20/1999,434.21
9/21/1999,425.54
9/22/1999,410.15
9/23/1999,400.46
9/24/1999,382.01
9/27/1999,382.14
9/28/1999,385.23
9/29/1999,391.07
9/30/1999,389.49
10/1/1999,407.23
10/4/1999,396.13
10/5/1999,398.94
10/6/1999,395.09
10/7/1999,397.64
10/8/1999,393.02
10/11/1999,388.88
10/12/1999,401.36
10/13/1999,391.5
10/14/1999,392.79
10/15/1999,385.4
10/18/1999,372.87
10/19/1999,368.58
10/20/1999,369.01
10/21/1999,367.23
10/22/1999,377.16
10/26/1999,379.54
10/27/1999,379.61
10/28/1999,389.76
10/29/1999,395.55
11/1/1999,391.55
11/2/1999,402.41
11/3/1999,403.31
11/4/1999,419.89
11/5/1999,418.47
11/8/1999,414.07
11/9/1999,426.42
11/10/1999,426.39
11/11/1999,429.28
11/12/1999,432.02
11/15/1999,426.7
11/16/1999,423.15
11/17/1999,410.04
11/18/1999,410.9
11/19/1999,411.55
11/22/1999,406.41
11/23/1999,405.42
11/24/1999,399.23
11/25/1999,404.6
11/26/1999,412.31
11/29/1999,421.26
11/30/1999,422.12
12/1/1999,423.07
12/2/1999,419.67
12/3/1999,414.42
12/7/1999,413.88
12/8/1999,413.27
12/9/1999,419.77
12/13/1999,435.4
12/14/1999,438.23
12/15/1999,437.86
12/16/1999,437.71
12/17/1999,439.32
12/20/1999,450.68
12/21/1999,444.93
12/22/1999,458.43
12/23/1999,461.18
12/24/1999,461.29
12/27/1999,466.45
12/28/1999,466.96
12/29/1999,479.42
12/30/1999,481.92
1/4/2000,498.46
1/5/2000,465.85
1/6/2000,443.46
1/7/2000,453.31
1/10/2000,459.47
1/11/2000,452.48
1/12/2000,459.62
1/13/2000,458.4
1/14/2000,474.37
1/17/2000,477.09
1/18/2000,484.16
1/19/2000,486.33
1/20/2000,486.64
1/21/2000,478.92
1/24/2000,477.22
1/25/2000,473.22
1/26/2000,469.22
1/27/2000,474.91
1/28/2000,477.45
1/31/2000,477.57
2/1/2000,474.39
2/2/2000,470.62
2/3/2000,465.78
2/4/2000,470.34
2/7/2000,471.97
2/8/2000,465.94
2/9/2000,456.02
2/10/2000,453.1
2/11/2000,456.12
2/14/2000,447.56
2/15/2000,430.97
2/16/2000,422.83
2/17/2000,405.81
2/18/2000,408.35
2/22/2000,379.43
2/23/2000,389
2/24/2000,395.1
2/25/2000,406.66
2/28/2000,388.39
2/29/2000,374.32
3/1/2000,371.56
3/2/2000,391.39
3/3/2000,383.13
3/6/2000,379.27
3/7/2000,380.35
3/8/2000,385.56
3/9/2000,393.23
3/10/2000,402.4
3/13/2000,390.15
3/14/2000,400.37
3/15/2000,386.2
3/16/2000,395.83
3/17/2000,399.74
3/20/2000,400.99
3/21/2000,398.26
3/22/2000,395.15
3/23/2000,399.03
3/24/2000,404.16
3/27/2000,408.24
3/28/2000,412.44
3/29/2000,410.69
3/30/2000,399.59
3/31/2000,400.32
4/3/2000,399.74
4/4/2000,392.7
4/5/2000,395.33
4/7/2000,403.45
4/10/2000,403.32
4/11/2000,400.74
4/12/2000,414.45
4/17/2000,392.88
4/18/2000,385.25
4/19/2000,391.22
4/20/2000,389.48
4/21/2000,395.06
4/24/2000,395
4/25/2000,396.48
4/26/2000,394.56
4/27/2000,393.36
4/28/2000,390.4
5/2/2000,385.44
5/3/2000,379.8
5/4/2000,379.97
5/8/2000,366.17
5/9/2000,357.77
5/10/2000,343.53
5/11/2000,336.54
5/12/2000,345.67
5/15/2000,339.37
5/16/2000,350.22
5/18/2000,343.39
5/19/2000,343.4
5/22/2000,333.36
5/23/2000,325.99
5/24/2000,319.68
5/25/2000,307.23
5/26/2000,313.08
5/29/2000,308.45
5/30/2000,307.82
5/31/2000,323.29
6/1/2000,327.6
6/2/2000,339.28
6/5/2000,352.6
6/6/2000,345.43
6/7/2000,340.83
6/8/2000,344.58
6/9/2000,341.35
6/12/2000,340.7
6/13/2000,334.99
6/14/2000,345.43
6/15/2000,345.29
6/16/2000,344.49
6/19/2000,340.66
6/20/2000,339.77
6/21/2000,338.12
6/22/2000,334.03
6/23/2000,333.31
6/26/2000,330.73
6/27/2000,334.18
6/28/2000,334.48
6/29/2000,323.35
6/30/2000,325.69
7/3/2000,319.26
7/4/2000,316.66
7/5/2000,322.85
7/6/2000,318.42
7/7/2000,322.87
7/10/2000,326.62
7/11/2000,325.72
7/12/2000,323.93
7/13/2000,320.45
7/14/2000,315.58
7/18/2000,313.39
7/19/2000,314.54
7/20/2000,307.85
7/21/2000,305.66
7/24/2000,293.13
7/25/2000,295.59
7/26/2000,291.43
7/27/2000,294.22
7/28/2000,291.6
7/31/2000,284.67
8/1/2000,295.49
8/2/2000,301.22
8/3/2000,307.97
8/4/2000,311.42
8/7/2000,306.72
8/8/2000,318.15
8/9/2000,315.02
8/10/2000,309.42
8/11/2000,316.6
8/15/2000,321.44
8/16/2000,327.46
8/17/2000,322.5
8/18/2000,319.22
8/21/2000,312.66
8/22/2000,316.48
8/23/2000,308.37
8/24/2000,307.32
8/25/2000,306.84
8/28/2000,305.72
8/29/2000,309.24
8/30/2000,309.67
8/31/2000,307.83
9/1/2000,310.73
9/4/2000,309.01
9/5/2000,308.25
9/6/2000,302.51
9/7/2000,298.31
9/8/2000,297.07
9/11/2000,290.34
9/12/2000,288.03
9/13/2000,290.55
9/14/2000,287.21
9/15/2000,293.3
9/18/2000,286.81
9/19/2000,287.16
9/20/2000,282.23
9/21/2000,283.13
9/22/2000,274.14
9/25/2000,280.25
9/26/2000,282.08
9/27/2000,285.38
9/28/2000,279.75
9/29/2000,277.29
10/2/2000,276.69
10/3/2000,271.38
10/4/2000,271.85
10/5/2000,269.51
10/6/2000,267.68
10/9/2000,261.29
10/10/2000,256.98
10/11/2000,250.6
10/12/2000,257.74
10/13/2000,254.26
10/16/2000,258.08
10/17/2000,259.95
10/18/2000,268.18
10/19/2000,276.19
10/20/2000,276.6
10/24/2000,275.48
10/25/2000,271.1
10/26/2000,275.39
10/27/2000,274.34
10/30/2000,270.34
10/31/2000,271.84
11/1/2000,279.77
11/2/2000,280.3
11/3/2000,287.84
11/6/2000,291.93
11/7/2000,292.36
11/8/2000,299.37
11/9/2000,293.59
11/10/2000,293.23
11/13/2000,287.18
11/14/2000,288.28
11/15/2000,288.75
11/16/2000,289.99
11/17/2000,294.71
11/20/2000,288.41
11/21/2000,287.06
11/22/2000,283.58
11/23/2000,284.22
11/24/2000,285.42
